;Position;Number;Text;Note;Category;Unit;Quantity;Total Unit Cost;;;;;;;;;;
CONCRETE BEAMS;1.1.;04.10.82,01;Betonbjælke 200 x 300 mm, ikke synlig flade;"Beton 20 MPa, passiv miljøpåvirkning, P20PP32G.
Armeringsstål B550B, EN 10080, 150 kg/m³. 
Ekskl. puds og beklædning.
Ikke synlig overflade";;m3;20;21690,9582;;1084,54791;;;;;;;;
;1.2.;04.10.82,02;Betonbjælke 250 x 400 mm, ikke synlig flade;"Beton 20 MPa, passiv miljøpåvirkning, P20PP32G.
Armeringsstål B550B, EN 10080, 150 kg/m³. 
Ekskl. puds og beklædning.
Ikke synlig overflade";;m3;20;19025,2301;;951,261505;;;;;;;;
;1.3.;04.10.82,03;Betonbjælke 300 x 500 mm, ikke synlig flade;"Beton 20 MPa, passiv miljøpåvirkning, P20PP32G.
Armeringsstål B550B, EN 10080, 150 kg/m³. 
Ekskl. puds og beklædning.
Ikke synlig overflade";;m3;20;17302,185;;865,10925;;;;;;;;
;1.4.;04.10.82,04;Betonbjælke 400 x 600 mm, ikke synlig flade;"Beton 20 MPa, passiv miljøpåvirkning, P20PP32G.
Armeringsstål B550B, EN 10080, 150 kg/m³. 
Ekskl. puds og beklædning.
Ikke synlig overflade";;m3;20;15411,7614;;770,58807;;;;;;;;
;1.5.;04.10.82,05;Betonbjælke 200 x 300 mm, synlig overflade;"Beton 20 MPa, passiv miljøpåvirkning, P20PP32G.
Armeringsstål B550B, EN 10080, 150 kg/m³. 
Ekskl. puds og beklædning.

Synlig overflade, struktur";;m3;20;25469,9403;;1273,497015;;;;;;;;
;1.6.;04.10.82,06;Betonbjælke 250 x 400 mm, synlig overflade;"Beton 20 MPa, passiv miljøpåvirkning, P20PP32G.
Armeringsstål B550B, EN 10080, 150 kg/m³. 
Ekskl. puds og beklædning.

Synlig overflade, struktur";;m3;20;22005,4078;;1100,27039;;;;;;;;
;1.7.;04.10.82,07;Betonbjælke 300 x 500 mm, synlig overflade;"Beton 20 MPa, passiv miljøpåvirkning, P20PP32G.
Armeringsstål B550B, EN 10080, 150 kg/m³. 
Ekskl. puds og beklædning.

Synlig overflade, struktur";;m3;20;19767,4699;;988,373495;;;;;;;;
;1.8.;04.10.82,08;Betonbjælke 400 x 600 mm, synlig overflade;"Beton 20 MPa, passiv miljøpåvirkning, P20PP32G.
Armeringsstål B550B, EN 10080, 150 kg/m³. 
Ekskl. puds og beklædning.

Synlig overflade, struktur";;m3;20;17310,8734;;865,54367;;;;;;;;
STEEL COLUMNS;2.1.;04.22.33,01;15 mm Promatect-200 plade, HEB 160;"R60A2-s1,d0 [BS 60]
Ekskl. inddækninger ved loft eller gulv.
Promatect-200, t = 15 mm.
4 sider på";;lbm;10;557,3997;;55,73997;;;;;;;;
;2.2.;04.22.33,02;15 mm Promatect-200 plade, HEB 200;"R60A2-s1,d0 [BS 60]
Ekskl. inddækninger ved loft eller gulv.
Promatect-200, t = 15 mm.
4 sider på";;lbm;10;631,2951;;63,12951;;;;;;;;
