Total column volume by level (sum of individual elements, dimensions in millimeters):
  Level: B_00 -> Volume: 17.54 m³
  Level: F_00 -> Volume: 5.85 m³
Total rectangular column volume (sum of all elements): 23.39 m³

Profile Name | Column ID | XDim [mm] | YDim [mm] | Depth [mm] | Volume [m³] | Material | Price [€]
------------------------------------------------------------------------------------------------------------------------
SBP200/200 | 3n3$LrV6zARAqJToPd71EV | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71Fp | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71FS | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71GF | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71GE | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71G9 | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71HY | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71Ky | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71K$ | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71Li | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71Q_ | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71Q0 | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71W0 | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71W3 | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71W2 | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71Zi | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71Zl | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71Zk | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71cx | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71db | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 3n3$LrV6zARAqJToPd71pm | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 2aokfLxZT088K_qC5Ehp8D | 200.0 | 200.0 | 3630.0 | 0.15 | Concrete | 15.39
SBP200/200 | 1n5qhsDSD55ehW0JsDt6kz | 200.0 | 200.0 | 3510.0 | 0.14 | Concrete | 14.88
SBP200/200 | 1n5qhsDSD55ehW0JsDt6k_ | 200.0 | 200.0 | 3510.0 | 0.14 | Concrete | 14.88
SBP200/200 | 1n5qhsDSD55ehW0JsDt6k$ | 200.0 | 200.0 | 3510.0 | 0.14 | Concrete | 14.88
